Dados de Precipitação Mensal das Estações,,,,,,,,,,,,,,,,,
Estação,Latitude,Longitude,Jan/08,Fev/08,Mar/08,Abr/08,Mai/08,Jun/08,Jul/08,Ago/08,Set/08,Out/08,Nov/08,Dez/08,Região,Rpga,Total
Olindina - IT-PR-11,-11.343693,-38.318892,40.75,34.75,,81.25,51.75,39,38.75,30.5,26.75,19.25,41.75,20.5,Nordeste,RPGA do Rio Itapicuru,362.75
Sítio do Quinto - EBDA,-10.367959,-38.201038,0,21,101.5,62.1,117.8,132,31.1,30,0,0,0,0,Nordeste,RPGA do Rio Vaza-Barris,495.5
Candeal - EBDA,-11.80132,-39.117735,0,75.8,45.8,36.3,50.5,65.8,38.4,29.3,2.3,27.3,122.5,119.1,Nordeste,RPGA do Rio Paraguaçu,371.5
Quijingue (BR 116 E. Cunha / Tucano) - IT-PR-05,-10.7105,-38.9227,0.25,131.75,56.75,53.5,89,42.5,25,28.5,14,6.5,27.75,16.25,Nordeste,RPGA do Rio Itapicuru,447.75
Adustina - EBDA,-10.534629,-38.117704,3.3,12.1,173.6,58.2,136,48.6,42.8,28,16,0,0,0,Nordeste,RPGA do Rio Vaza-Barris,518.6
Jeremoabo - EBDA,-10.067951,-38.351041,0,91,152,6.8,79.8,52.6,42.7,27.9,8.4,0,0,4.5,Nordeste,RPGA do Rio Vaza-Barris,461.2
Piatã - A430,-13.155681,-41.774125,,,,,,75.8,58.2,27.6,16.4,18.6,154.8,163,Chapada Diamantina,RPGA do Rio de Contas,196.6
Caravelas - 83498,-17.739167,-39.258333,117.9,85,213.2,8.6,64.8,241.7,75.2,27.3,46.8,35.7,321.4,193.5,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",916.2
Santaluz - IT-PR-17,-11.24831,-39.37563,7.5,44.5,50.5,81.25,30.5,45.5,21.5,27.25,20.5,7.5,23.75,51.25,Nordeste,RPGA do Rio Itapicuru,336.5
Camacã (Fz Nanci) - 53880000,-15.581395,-39.521095,52,147,91,9,4,85,29,27,8,47,110,245,Sul,RPGA do Rio Pardo,499
Ibicuí - EBDA,-14.83471,-39.984437,54.1,0,0,14,0,45.4,23.7,26.9,0,0,200.2,71,Sudoeste,RPGA do Rio de Contas,164.1
Castro Alves - EBDA,-12.751338,-39.434413,32,160,73,20,22,87,74,26.5,47.5,28.5,90,42,Recôncavo,RPGA do Rio Paraguaçu,570.5
Senhor do Bonfim  - A428,-10.443072,-40.148244,,,,121,49.6,69.6,51,26,9,8.8,8,86.8,Nordeste,RPGA do Rio Itapicuru,335
Itambé - EBDA,-15.251383,-40.617789,62,0,0,0,0,12,23,26,0,9,144.8,70,Sudoeste,RPGA do Rio Pardo,132
Jequié - EBDA,-13.851356,-40.084435,42,93,71,18,2,49,50,26,2,0,115.5,111,Sudoeste,RPGA do Rio de Contas,353
Valente - PG-PR-04,-11.40119,-39.458099,0.25,55.75,60.25,40.25,21.5,55.75,16.25,25,18,11.25,53.5,62,Nordeste,RPGA do Rio Paraguaçu,304.25
Tucano - EBDA,-10.971302,-38.781056,0,193.5,86,49.5,53,27,29,25,23.5,0,32.5,4,Nordeste,RPGA do Rio Itapicuru,486.5
Senhor do Bonfim (Carrapichel) - IT-PR-37,-10.388101,-40.220067,0,68.75,154,130.5,47,61.75,44,24.75,,,,,Nordeste,RPGA do Rio Itapicuru,530.75
Araci (Fazenda Laranjeiras III) - IT-PR-09,-11.334248,-38.968638,1.5,123,46,11.5,35.5,31.5,23.5,24.25,22.25,17.25,6.25,64.75,Nordeste,RPGA do Rio Itapicuru,336.25
Araci - EBDA,-11.334644,-38.951062,6,127.5,43,14.5,37.75,20.25,23.5,24.25,22.5,17,6.25,64.75,Nordeste,RPGA do Rio Itapicuru,336.25
Jaguaquara - EBDA,-13.534684,-39.984431,59.5,128.5,126,17.5,15.5,76,49,24,35.5,14.5,87,123,Sudoeste,RPGA do Recôncavo Sul,546
Ituruçu (Jaguaquara) - 83295,-13.527828,-40.119752,5.2,174.5,132,26.9,,96.2,,23.8,31.4,12.4,60,120.4,Sudoeste,RPGA do Recôncavo Sul,502.4
Caravelas (Abrolhos) - A422,-17.79052,-39.22789,,,,,,,,23.8,25.4,16,294,130.2,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",65.2
Cipó - EBDA,-11.101305,-38.517717,20,39,155.5,108.4,71.7,13,50.1,23.6,41.2,9.3,10,0,Nordeste,RPGA do Rio Itapicuru,531.8
Jequié - CO-CL-03,-13.873055,-40.071944,3.5,152.75,76,22,3.75,30.5,31.75,23.5,3.75,1.75,49.05,79.75,Sudoeste,RPGA do Rio de Contas,349.25
Teixeira de Freitas - PJ-CL-01,-17.575555,-39.732777,176.5,67,147.25,24,13.75,126.5,42.25,23.25,19,61.25,177.25,166.75,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",700.75
